SurveilancePlace,Department,MonitorDate,Rate_Wave
YS,Suburb,20130325,1.56
YS,Suburb,20130326,1.55
YS,Suburb,20130327,1.79
YS,Suburb,20130328,1.55
YS,Suburb,20130329,1.63
YS,Suburb,20130330,1.51
YS,Suburb,20130331,1.4
ZW,Suburb,20121001,34.59
ZW,Suburb,20121002,8.51
ZW,Suburb,20121003,7.7
ZW,Suburb,20121004,10.12
ZW,Suburb,20121005,6.91
ZW,Suburb,20121006,8.65
ZW,Suburb,20121007,8.66
ZW,Suburb,20121008,7.49
ZW,Suburb,20121009,6.86
ZW,Suburb,20121010,7.99
ZW,Suburb,20121011,10.46
ZW,Suburb,20121013,8.82
ZW,Suburb,20121014,9.71
ZW,Suburb,20121015,8.82
ZW,Suburb,20121016,10.12
ZW,Suburb,20121017,12.55
ZW,Suburb,20121018,5.09
ZW,Suburb,20121019,13.66
ZW,Suburb,20121020,14.27
ZW,Suburb,20121022,14.25
ZW,Suburb,20121023,8.37
ZW,Suburb,20121024,13.68
ZW,Suburb,20121025,14.54
ZW,Suburb,20121026,12.55
ZW,Suburb,20121027,13.94
ZW,Suburb,20121028,12.97
ZW,Suburb,20121029,14.37
ZW,Suburb,20121030,12.87
ZW,Suburb,20121031,14.23
ZW,Suburb,20121101,15.06
ZW,Suburb,20121102,14.15
ZW,Suburb,20121103,13.93
ZW,Suburb,20121104,14.03
ZW,Suburb,20121105,13.68
ZW,Suburb,20121106,14.77
ZW,Suburb,20121107,15.18
ZW,Suburb,20121108,13.55
ZW,Suburb,20121109,12.81
ZW,Suburb,20121110,13.45
ZW,Suburb,20121111,13.22
ZW,Suburb,20121112,13.68
ZW,Suburb,20121113,14.43
ZW,Suburb,20121114,14.8
ZW,Suburb,20121115,13.96
ZW,Suburb,20121116,14.27
ZW,Suburb,20121117,13.44
ZW,Suburb,20121118,13.55
ZW,Suburb,20121119,13.75
ZW,Suburb,20121120,14.38
ZW,Suburb,20121121,13.64
ZW,Suburb,20121122,14.1
ZW,Suburb,20121123,13.45
ZW,Suburb,20121124,14.21
ZW,Suburb,20121125,13.28
ZW,Suburb,20121126,14.33
ZW,Suburb,20121127,14.29
ZW,Suburb,20121128,14.73
ZW,Suburb,20121129,14.44
ZW,Suburb,20121130,13.04
ZW,Suburb,20121201,12.57
ZW,Suburb,20121202,14.18
ZW,Suburb,20121203,14.25
ZW,Suburb,20121204,13.49
ZW,Suburb,20121205,14.47
ZW,Suburb,20121206,15.82
ZW,Suburb,20121207,13.5
ZW,Suburb,20121208,14.1
ZW,Suburb,20121209,14.25
ZW,Suburb,20121210,14.41
ZW,Suburb,20121211,13.95
ZW,Suburb,20121212,14.75
ZW,Suburb,20121213,15.14
ZW,Suburb,20121214,12.68
ZW,Suburb,20121215,14.83
ZW,Suburb,20121216,12.88
ZW,Suburb,20121217,13.88
ZW,Suburb,20121218,13.88
ZW,Suburb,20121219,14.11
ZW,Suburb,20121220,13.52
ZW,Suburb,20121221,13.04
ZW,Suburb,20121222,13.11
ZW,Suburb,20121223,12.8
ZW,Suburb,20121224,13.52
ZW,Suburb,20121225,13.06
ZW,Suburb,20121226,14.5
ZW,Suburb,20121227,14.08
ZW,Suburb,20121228,12.73
ZW,Suburb,20121229,14.11
ZW,Suburb,20121230,14.04
ZW,Suburb,20121231,13.46
ZW,Suburb,20130101,14.19
ZW,Suburb,20130102,14.09
ZW,Suburb,20130103,12.73
ZW,Suburb,20130104,13.3
ZW,Suburb,20130105,14.04
ZW,Suburb,20130106,14.17
ZW,Suburb,20130107,13.5
ZW,Suburb,20130108,14.26
ZW,Suburb,20130109,14.25
ZW,Suburb,20130110,14.21
ZW,Suburb,20130111,14.84
ZW,Suburb,20130112,13.04
ZW,Suburb,20130113,12.63
ZW,Suburb,20130114,14.51
ZW,Suburb,20130115,13.29
ZW,Suburb,20130116,13.79
ZW,Suburb,20130117,14.55
ZW,Suburb,20130118,13.19
ZW,Suburb,20130119,14.63
ZW,Suburb,20130120,13.35
ZW,Suburb,20130121,14.45
ZW,Suburb,20130122,14.25
ZW,Suburb,20130123,14.27
ZW,Suburb,20130124,13.08
ZW,Suburb,20130125,15.35
ZW,Suburb,20130126,13.96
ZW,Suburb,20130127,15.28
ZW,Suburb,20130128,15.57
ZW,Suburb,20130129,13.28
ZW,Suburb,20130130,13
ZW,Suburb,20130131,13.25
ZW,Suburb,20130201,14.22
ZW,Suburb,20130202,14.31
ZW,Suburb,20130203,14.28
ZW,Suburb,20130204,12.95
ZW,Suburb,20130205,15.81
ZW,Suburb,20130206,13.26
ZW,Suburb,20130207,16.14
ZW,Suburb,20130208,14.81
ZW,Suburb,20130209,14.25
ZW,Suburb,20130210,14.97
ZW,Suburb,20130211,14.28
ZW,Suburb,20130212,13.91
ZW,Suburb,20130213,13.18
ZW,Suburb,20130214,14.13
ZW,Suburb,20130215,14.05
ZW,Suburb,20130216,13.77
ZW,Suburb,20130217,12.25
ZW,Suburb,20130218,14.6
ZW,Suburb,20130219,12.65
ZW,Suburb,20130220,13.51
ZW,Suburb,20130221,9.61
ZW,Suburb,20130222,13.97
ZW,Suburb,20130223,12.83
ZW,Suburb,20130224,13.53
ZW,Suburb,20130225,14.31
ZW,Suburb,20130226,13.98
ZW,Suburb,20130227,16.02
ZW,Suburb,20130228,14.25
ZW,Suburb,20130301,15.47
ZW,Suburb,20130302,10.11
ZW,Suburb,20130303,14.24
ZW,Suburb,20130304,14.32
ZW,Suburb,20130305,15.68
ZW,Suburb,20130306,11.86
ZW,Suburb,20130307,14.84
ZW,Suburb,20130308,13.72
ZW,Suburb,20130309,14.1
ZW,Suburb,20130310,14.01
ZW,Suburb,20130311,13.25
ZW,Suburb,20130312,13.52
ZW,Suburb,20130313,13.71
ZW,Suburb,20130314,13.93
ZW,Suburb,20130315,14.83
ZW,Suburb,20130316,12.61
ZW,Suburb,20130317,13.75
ZW,Suburb,20130318,13.07
ZW,Suburb,20130319,12.35
ZW,Suburb,20130320,14.35
ZW,Suburb,20130321,12.52
ZW,Suburb,20130322,14.91
ZW,Suburb,20130323,14.41
ZW,Suburb,20130324,12.74
ZW,Suburb,20130325,11.35
ZW,Suburb,20130326,14.39
ZW,Suburb,20130327,13.35
ZW,Suburb,20130328,12.2
ZW,Suburb,20130329,13.94
ZW,Suburb,20130330,14.77
ZW,Suburb,20130331,14.85
H,Big,20121001,10.17
H,Big,20121002,10.9
H,Big,20121003,11.61
H,Big,20121004,7.68
H,Big,20121005,10.71
H,Big,20121006,10.61
H,Big,20121007,14.64
H,Big,20121008,13.78
H,Big,20121009,10.56
H,Big,20121010,11.09
H,Big,20121011,12.65
H,Big,20121012,10.81
H,Big,20121013,14.55
